@relation author-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute Date {1,0}
@attribute DicoWords {1,0}
@attribute IsMail {1,0}
@attribute relatifNbWordsInBlock numeric
@attribute relatifNumLine numeric
@attribute maxRelatifNumLine {1,0}
@attribute minRelatifNumLine {1,0}
@attribute end {1,0}
@attribute NbNouns numeric
@attribute precededByAuthorTag {1,0}
@attribute createdBy {1,0}
@attribute Location {1,0}
@attribute org {1,0}
@attribute class {0,1}

@data
0,1,0,0.091146,0.926829,0,0,1,4,0,0,0,1,0
0,0,0,0.998964,0.373626,0,0,0,1,0,1,0,1,0
0,0,0,1,0.515337,0,0,0,0,0,0,0,1,0
0,0,0,0.332732,0.092952,0,0,0,1,0,0,0,0,0
0,0,0,0.408163,0.12987,0,0,0,0,0,0,0,1,0
0,0,0,0.996441,0.722449,0,0,0,3,0,0,1,1,0
0,0,0,0.036145,0.086957,0,0,0,0,0,0,0,0,0
0,0,0,0.225,0.614634,0,0,0,0,0,0,0,1,0
0,0,0,0.022467,0.024322,0,0,0,1,0,0,0,1,0
0,0,0,0.450575,0.610063,0,0,0,0,0,1,1,1,0
1,0,0,1,0.91906,0,0,1,3,0,0,1,1,0
0,0,0,1,0.821429,0,0,0,0,0,0,0,0,0
1,0,0,0.999557,0.672131,0,0,0,1,0,0,0,0,0
0,0,0,0.041522,0.044855,0,0,0,0,0,0,1,1,0
0,0,0,0.066939,0.070064,0,0,0,2,0,0,0,1,0
1,0,1,1,0.943089,0,0,1,5,0,0,1,1,0
0,0,1,0.228632,0.705069,0,0,0,4,0,0,1,0,0
1,0,1,0.999617,0.841429,0,0,0,3,0,0,1,1,0
1,0,0,0.747449,0.8,0,0,0,3,0,0,1,1,0
0,0,0,1,0.748954,0,0,0,1,0,0,0,0,0
1,0,0,0.606061,0.106996,0,0,0,1,0,0,0,1,0
0,0,0,0.03367,0.19697,0,0,0,0,0,0,0,1,0
0,0,0,0.792181,0.595,0,0,0,2,0,0,0,1,0
0,0,0,1,0.702857,0,0,0,2,0,0,1,1,0
1,0,0,0.266885,0.971808,0,0,1,9,0,0,1,1,0
0,0,0,0.215054,0.161716,0,0,0,1,0,0,0,1,0
1,0,0,1,0.132075,0,0,0,1,0,0,1,0,0
0,0,0,0.149477,0.827586,0,0,0,7,0,0,1,1,0
0,0,0,0.998964,0.324176,0,0,0,4,0,0,0,1,0
1,0,0,0.39801,0.929448,0,0,1,3,0,0,0,1,0
